Código,Nombre,Unidad,Familia,Subfamilia,Especialista,Iva,Activo,Servicio
M398,VARILLA FRENO DELANTERO 250,PIEZA,MOTOS,,NO,NO,NO,NO
M399,VARILLA FRENO DELANTERO 200,PIEZA,MOTOS,,NO,NO,NO,NO
M400,CHICOTE DE DUAL 250,PIEZA,MOTOS,,NO,NO,NO,NO
M401,CHICOTE DE DUAL 200,PIEZA,MOTOS,,NO,NO,NO,NO
M402,VARILLA PARA FRENO TRASERO 250,PIEZA,MOTOS,,NO,NO,NO,NO
M403,VARILLA PARA FRENO TRASERO 200,PIEZA,MOTOS,,NO,NO,NO,NO
M404,"CONJUNTO DE CHICOTES 250 (FRENO, ACELERADOR, AMORTIGUADOR, CLUTCH)",PIEZA,MOTOS,,NO,NO,NO,NO
M405,"CONJUNTO DE CHICOTES 200 (FRENO, ACELERADOR, AMORTIGUADOR, CLUTCH)",PIEZA,MOTOS,,NO,NO,NO,NO
M406,SOPORTE FARO DELANTERO 250,PIEZA,MOTOS,,NO,NO,NO,NO
M407,BASE TOLDO DE CABINA UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M408,LEVAS DE FRENO UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M409,PALANCAS DUAL 250,PIEZA,MOTOS,,NO,NO,NO,NO
M410,MANUBRIO 250,PIEZA,MOTOS,,NO,NO,NO,NO
M411,MANUBRIO 200,PIEZA,MOTOS,,NO,NO,NO,NO
M412,CONJUNTOS TUBO ESCAPE 250,PIEZA,MOTOS,,NO,NO,NO,NO
M413,CONJUNTOS TUBO ESCAPE 200,PIEZA,MOTOS,,NO,NO,NO,NO
M414,POSA PIES LATERALES 200,PAR,MOTOS,,NO,NO,NO,NO
M415,SOPORTE DELANTERO CABINA UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M416,SOPORTES LATERALES CABINA UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M417,JUEGO DE ESPEJOS UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M418,CAJA DE HERRAMIENTAS 250,PIEZA,MOTOS,,NO,NO,NO,NO
M419,CAJA DE HERRAMIENTAS 200,PIEZA,MOTOS,,NO,NO,NO,NO
M420,ZAPATAS DE MUELLE UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M421,MANIJAS Y PERNOS UNIVERSALES,PIEZA,MOTOS,,NO,NO,NO,NO
